gender,first_name,last_name,email,password,phone_number,birth_date,blood_type,length,weight,chronic_disease,genetic_disease,other_info
1,Judy,Abd Alrahim,JudyAbdAlrahim1@gmail.com,123123,0970730448,1983-2-16,4,174,114,Chronic Kidney Disease,Fragile X Syndrome,"Allergies: Dust Mites, Pollen"
0,Ismaiel,Abd Alrahim,IsmaielAbdAlrahim2@gmail.com,123123,0959205394,1982-2-3,7,165,102,Parkinsons Disease,Huntingtons Disease,"Allergies: Dust Mites, Pollen"
1,Raghad,Mahmoud,RaghadMahmoud3@gmail.com,123123,0984107346,1988-12-18,1,180,73,Chronic Migraines,Fragile X Syndrome,"Family History: Hypertension, Stroke"
1,Batoul,Koja,BatoulKoja4@gmail.com,123123,0969947297,1995-8-27,5,165,93,Alzheimers Disease,Sickle Cell Anemia,"Family History: Hypertension, Stroke"
0,Ahmad,Mahmoud,AhmadMahmoud5@gmail.com,123123,0965235613,1980-3-18,5,161,89,Rheumatoid Arthritis,Prader-Willi Syndrome,"Family History: Hypertension, Stroke"
0,Ahmad,Ali,AhmadAli6@gmail.com,123123,0915528547,1981-10-9,6,177,115,Hypertension,Color Blindness,"Family History: Hypertension, Stroke"
1,Mariam,Mohammad,MariamMohammad7@gmail.com,123123,0952386185,1980-9-27,6,162,67,Heart Disease,Tay-Sachs Disease,"Vaccination History: COVID-19 (Pfizer, 2 doses)"
1,haifaa,Abd Alrahim,haifaaAbdAlrahim8@gmail.com,123123,0986175412,1983-12-6,3,170,88,Diabetes,Hemophilia,"Family History: Asthma, Allergies"
0,Ammar,Habib,AmmarHabib9@gmail.com,123123,0948788780,1995-3-4,1,172,106,Crohns Disease,Rett Syndrome,"Family History: Cancer, Alzheimers Disease"
0,Osama,Abd Almalek,OsamaAbdAlmalek10@gmail.com,123123,0929214430,1984-1-16,1,179,109,Diabetes,Huntingtons Disease,Medications: Levothyroxine
0,Osama,Awad,OsamaAwad11@gmail.com,123123,0960230551,1984-1-7,0,173,87,Rheumatoid Arthritis,Down Syndrome,"Previous Surgeries: Appendectomy (2015), Tonsillectomy (2008)"
1,Mariam,Horani,MariamHorani12@gmail.com,123123,0948994422,1991-2-3,6,165,117,Osteoporosis,Hemophilia,Vaccination History: Tetanus-Diphtheria (10 years ago)
1,Sedra,Halabi,SedraHalabi13@gmail.com,123123,0952008028,1992-6-8,7,175,58,Epilepsy,Polycystic Kidney Disease,Medications: Sertraline
1,Zainab,Ahmad,ZainabAhmad14@gmail.com,123123,0968102952,1989-1-23,7,166,58,Lupus,Rett Syndrome,Vaccination History: None
1,Hiba,AlHelo,HibaAlHelo15@gmail.com,123123,0916624729,1989-4-15,6,169,107,Multiple Sclerosis,Rett Syndrome,Vaccination History: Tetanus-Diphtheria (10 years ago)
0,Fadi,Mahmoud,FadiMahmoud16@gmail.com,123123,0953384936,1989-11-5,4,162,92,Asthma,Klinefelter Syndrome,"Family History: Cancer, Alzheimers Disease"
0,Saeed,Turkman,SaeedTurkman17@gmail.com,123123,0980996917,1981-5-20,6,172,85,Epilepsy,Marfan Syndrome,Previous Surgeries: None
0,Mohammad,Shamma,MohammadShamma18@gmail.com,123123,092115747,1994-2-6,6,160,66,Heart Disease,Marfan Syndrome,Vaccination History: Influenza (Yearly)
1,Zainab,AlMasri,ZainabAlMasri19@gmail.com,123123,0918391913,1994-8-1,6,175,76,Fibromyalgia,Marfan Syndrome,Vaccination History: Tetanus-Diphtheria (10 years ago)
0,Saeed,Ahmad,SaeedAhmad20@gmail.com,123123,0982670892,1982-11-4,6,178,106,Crohns Disease,Prader-Willi Syndrome,Allergies: None
